theme_tag,theme_label,ticker,bank_name,source_type,period_year,period_quarter,chunk_id,section_title,snippet,source_path_or_url
ai_strategy,AI strategy,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...with a commitment to harvest roughly $500 million annually for business growth. AI and digital transformation are framed as capacity multipliers, not mere cost-reduction tools, with Eliza and digital ""employees"" supporting new business models and product delivery...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
ai_strategy,AI strategy,CFG,Citizens Financial Group Inc/Ri,transcript,2025,4,CFG_transcript_2025_Q4__sec_024__chunk_0000,Dylan Field,"...know, that has been just interesting to see firsthand. I think zooming out, our AI strategy is pretty simple. We always want to be in a place where as models get better, Figma gets better. And know, easy to say, but have to make sure that is the case for everythin...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/CFG_2025_Q4.txt
ai_strategy,AI strategy,SOFI,"SoFi Technologies, Inc.",transcript,2025,3,SOFI_transcript_2025_Q3__sec_000__chunk_0003,Transcript,"...evenue up 34% and backlog expanding $49 billion sequentially, reflecting robust enterprise AI demand and multiple billion-dollar deal signings. YouTube reached $10.3 billion in advertising revenue, while Shorts profitability exceeded that of traditional formats in...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SOFI_2025_Q3.txt
ai_strategy,AI strategy,MS,Morgan Stanley,transcript,2025,3,MS_transcript_2025_Q3__sec_002__chunk_0017,Prepared Remarks,"AI services, which grew 157% year over year, and was ahead of expectations even as demand continued to be higher than our available capacity. Growth in our non-AI services was slightly...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q3.txt
ai_strategy,AI strategy,SF,Stifel Financial Corp,transcript,2025,3,SF_transcript_2025_Q3__sec_002__chunk_0021,Prepared Remarks,"...nd unifying its service operations. Our customer success with Agentforce and our AI solutions is driving strong results. In Q3, the number of wins greater than $1 million with AI more than tripled year over year and we signed more than 2,000 AI deals, including mo...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SF_2025_Q3.txt
customer_facing_ai,customer-facing AI,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...with a commitment to harvest roughly $500 million annually for business growth. AI and digital transformation are framed as capacity multipliers, not mere cost-reduction tools, with Eliza and digital ""employees"" supporting new business models and product delivery...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
customer_facing_ai,customer-facing AI,ZION,"Zions Bancorporation, National Association",transcript,2025,4,ZION_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"value growth. Summary Zions Bancorporation ( ZION +0.05% ) highlighted strong sequential and year-over-year improvements in net income, driven by rising revenues, effective funding mix management, and disciplined expense growth that included significant...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ZION_2025_Q4.txt
customer_facing_ai,customer-facing AI,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...Structural efficiency gains were credited to technology investments and enhanced AI adoption across business lines. Substantial excess capital was directed toward increased dividends, buybacks, and ongoing investment in technology and client acquisition. CEO Pick...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
customer_facing_ai,customer-facing AI,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...Pay Later and digital wallet strategies, is expected to drive both incremental customer acquisition and deepen partner engagement. Chief Financial Officer Brian Wenzel confirmed net interest margin rose 82 basis points, attributing 44 basis points to higher loan...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
customer_facing_ai,customer-facing AI,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"Updates also included expanded capital return initiatives, significant progress in funding diversification, and enhancements to risk and operating efficiency, enabled in part by targeted implementation of AI-driven process redesign under the One Goldman Sachs...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
governance,governance,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...uting 44 basis points to higher loan receivables yield from product pricing and policy changes. Management expects Retailer Share Arrangements to remain within the 4%-4.5% range of average receivables, with further increases tied to stronger program performance. S...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
governance,governance,KEY,Keycorp,transcript,2025,4,KEY_transcript_2025_Q4__sec_001__chunk_0003,Satish Dhanasekaran,"Keysight AI Data Center Builder won the Data Center Innovation Best Product Award at the European Conference on Connectivity in October 2025. Turning to wireless, orders and revenue grew high...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/KEY_2025_Q4.txt
governance,governance,BAC,Bank Of America Corp,transcript,2025,4,BAC_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...points of CET1 reduction in the quarter."" Management noted that regulatory and policy uncertainty persists, saying, ""we're still waiting for the rules to get finalized and they're multifaceted."" New proposals regarding credit card rate caps could adversely impact...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BAC_2025_Q4.txt
governance,governance,FITB,Fifth Third Bancorp,transcript,2025,4,FITB_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...affra, now part of XP Control LLC, aiming for long-term alignment and corporate governance reinforcement. Management highlighted proprietary technology deployment and adviser augmentation through AI as key strategic enablers, noting record adviser engagement with...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/FITB_2025_Q4.txt
