Ticker,Bank,AI_Summary,Confidence,Theme_Tags,Citations,Retrieved_Chunk_Count,Structured_Ref_Count,Latest_Call_Report_Date,Latest_Assets,Latest_Deposits,Latest_Net_Income,Model,Device
ALLY,Ally Financial Inc.,"David Guilmette: Yes, Scott. I'm gonna have Jeremy talk through some of the elements of how that drops through. One thing I wanna make sure we focus on as part of your first, you know, question is the opportunities that exist across our partner network. We highlighted that, you know, in the opening remarks. We're feeling really good about the level of activity and the interest that the partners are expressing in being part of our network just given our size and scale and reach for the customers",0.2,,ALLY_transcript_2025_Q3__sec_018__chunk_0000 | ALLY_transcript_2025_Q3__sec_018__chunk_0001 | ALLY_transcript_2025_Q3__sec_001__chunk_0000,6,8,20251231,184648000,155037000,1649000,Qwen/Qwen2.5-1.5B-Instruct,mps
ASB,Associated Banc-Corp,"ASB says that the use of AI in their business and operations contains inherent risks that may expose them to material harm. Any actual or perceived failure to comply with evolving regulatory frameworks around the development and use of AI could adversely affect their business, results of operations, and financial condition. The regulatory framework around the development and use of these emerging technologies is rapidly evolving, and many federal, state, and foreign government bodies and agencies have introduced and/or are currently considering additional laws and regulations. The implementation standards and enforcement practices are likely to remain uncertain for the foreseeable future.",1.0,"regulatory_risk,evolving_regulations,AI_risk,compliance_risk,legal_risk",ASB_10_k_ASB_10-K_2025_Q4__sec_012__chunk_0092 | ASB_10_k_ASB_10-K_2025_Q4__sec_012__chunk_0090 | ASB_10_k_ASB_10-K_2024_Q4__sec_012__chunk_0107 | ASB_10_k_ASB_10-K_2024_Q4__sec_012__chunk_0108 | ASB_10_k_ASB_10-K_2025_Q4__sec_012__chunk_0091 | ASB_10_k_ASB_10-K_2025_Q4__sec_012__chunk_0040,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
AXP,American Express Co,"are you assuming around AI investments? And are those kind of fully embedded into guidance for the year? So, those are my two questions. Eric Yuan -- Founder and Chief Executive Officer Yeah. So, I can address the first part of your AI question. So, you look at it from a customer or partner perspective, right? So, almost -- the vendor, almost every vendor right, they try to pitch their AI story. A customer is smart. Our customers want to understand what's the value, the AI added to their busines",0.2,,AXP_transcript_2025_Q1__sec_002__chunk_0018 | AXP_transcript_2025_Q1__sec_002__chunk_0015 | AXP_transcript_2025_Q1__sec_002__chunk_0030,6,8,20251231,211275193,167788454,8009173,Qwen/Qwen2.5-1.5B-Instruct,mps
BAC,Bank Of America Corp,"Steven Alexopoulos:
Hey, good morning, everyone. I wanted to start the conversation first. I love this AI Slide four. I might frame it actually. But to start the conversation there, as we have spoken to the banks, there seems to be a fairly wide range of how banks are thinking about AI. Some are using it really to boost productivity, others are more fully embracing it to leverage digital workers. You seem to be in the second camp if you guys saw at the JPM Investor Day where Mary Anne like put t",0.2,,BAC_transcript_2025_Q2__sec_035__chunk_0000 | BAC_transcript_2024_Q2__sec_002__chunk_0007 | BAC_10_k_BAC_10-K_2024_Q4__sec_008__chunk_0075,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
BK,Bank of New York Mellon Corp,"the quarters and years ahead."" Operating Model Transition : 50% of staff are now in the platforms operating model, with full transition on track for completion by next year. Pricing Environment : Overall at the enterprise level, pricing has been flat to slightly positive so far this year, and repricing volume is 'down about eighty percent from where it was three years ago.' SUMMARY The Bank of New York Mellon Corporation ( BK +1.26% ) delivered a record-setting quarter, with total revenue surpas",0.2,,BK_transcript_2025_Q3__sec_000__chunk_0003 | BK_transcript_2025_Q2__sec_000__chunk_0003 | BK_transcript_2025_Q1__sec_044__chunk_0000,6,8,20251231,380997000,332433000,4828000,Qwen/Qwen2.5-1.5B-Instruct,mps
BKU,"BankUnited, Inc.","BankUnited, Inc. (BKU) says that the use of AI is essential for the bank's growth and operational efficiency. The bank is investing in AI to modernize payment systems and improve workflows. The bank is also concerned about the risks associated with AI, such as cybersecurity incidents and the potential for flawed or biased algorithms. The bank is committed to maintaining a strong governance framework to mitigate these risks.",1.0,"AI adoption,Operational efficiency,Cybersecurity,Governance,Regulatory compliance",BKU_10_k_BKU_10-K_2024_Q4__sec_038__chunk_0054 | BKU_transcript_2025_Q4__sec_065__chunk_0000 | BKU_def_14a_BKU_DEF14A_2024_Q4__sec_022__chunk_0000 | BKU_def_14a_BKU_DEF14A_2024_Q4__sec_098__chunk_0003,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
BOKF,Bok Financial Corp,"Bok Financial Corp (BOKF) uses artificial intelligence (AI) to automate processes, improve decision-making, and enhance customer experience. The company invests in AI and machine learning to drive innovation and operational efficiency. However, the company acknowledges risks associated with AI, including algorithmic flaws, data bias, and regulatory compliance issues. The company's use of AI is subject to internal governance processes and is evaluated for selective deployment. The company's cybersecurity is regularly monitored, and it has purchased network and privacy liability risk insurance coverage.",1.0,"AI,Machine Learning,Cybersecurity,Governance,Risk Management",BOKF_10_k_BOKF_10-K_2025_Q4__sec_007__chunk_0000 | BOKF_10_k_BOKF_10-K_2024_Q4__sec_007__chunk_0000 | BOKF_transcript_2024_Q2__sec_003__chunk_0017 | BOKF_10_k_BOKF_10-K_2025_Q4__sec_012__chunk_0012,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
BPOP,"Popular, Inc.","BPOP is exploring both foundational models and their own AI applications. They are seeing potential in large language models for various areas such as search, ads, and operations. They are also seeing opportunities for AI to contribute more significantly to their business. They have deployed AI in supply chain management, same-day logistics, and other facets of their business. They have seen a significant increase in orders and customers in Eats, and they are proud of their efforts to provide zero delivery costs for restaurant orders. They have a huge opportunity ahead of them and continue to focus on providing the best experience in restaurant delivery and commerce.",1.0,"AI Investments,Use Cases,Customer-Facing AI,Operations Efficiency,Vendor/Partnering,Governance/Risk",BPOP_transcript_2024_Q1__sec_003__chunk_0011 | BPOP_transcript_2024_Q1__sec_003__chunk_0010 | BPOP_10_k_BPOP_10-K_2024_Q4__sec_132__chunk_0003 | BPOP_def_14a_BPOP_DEF14A_2025_Q2__sec_070__chunk_0000 | BPOP_def_14a_BPOP_DEF14A_2025_Q2__sec_087__chunk_0000 | BPOP_def_14a_BPOP_DEF14A_2024_Q2__sec_058__chunk_0003,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
C,Citigroup Inc,"Citi has used AI and machine learning tools for many years and has more recently begun to develop new products and services leveraging emerging technologies. The use or development of emerging technologies, such as AI or digital assets, without sufficient controls, governance and risk management may result in increased risks across various risk categories. Citi relies on third parties to support certain of its product and service offerings, which may put Citi at a disadvantage to competitors who may directly offer a broader array of products and services. The Development and Use of AI by Citi and Others Present Risks to Citi’s Businesses.",1.0,"AI use in banking,Risk management in AI,Third-party risks,Strategic risk,Operational risks",C_10_k_C_10-K_2025_Q4__sec_054__chunk_0022 | C_10_k_C_10-K_2025_Q4__sec_054__chunk_0025 | C_10_q_C_10-Q_2025_Q3__sec_098__chunk_0007 | C_def_14a_C_DEF14A_2024_Q2__sec_043__chunk_0000 | C_10_k_C_10-K_2025_Q4__sec_127__chunk_0000 | C_transcript_2025_Q4__sec_058__chunk_0000,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
CFG,Citizens Financial Group Inc/Ri,"discipline and margin preservation. The general office portfolio saw its first decline in ACL coverage since concerns began; This is the first quarter where we're really charging off against the reserve and don't feel the need to reprovide for those charge-offs, according to John Woods. INDUSTRY GLOSSARY BSO : ""Balance Sheet Optimization"" — Citizens' program to reduce lower-return assets (e.g., select CRE, noncore loans) and reallocate capital to strategic lending and relationship growth areas.",0.2,,CFG_transcript_2025_Q2__sec_000__chunk_0005 | CFG_transcript_2025_Q3__sec_000__chunk_0005 | CFG_transcript_2025_Q2__sec_000__chunk_0003,6,8,20251231,350183,300436,3932,Qwen/Qwen2.5-1.5B-Instruct,mps
